Ail,,,,,,,juillet,août,septembre,octobre,novembre,décembre
Artichaut,,,,,mai,juin,juillet,août,septembre,,,
Asperge,,,,avril,mai,juin,,,,,,
Aubergine,,,,,,juin,juillet,août,septembre,,,
Betterave,janvier,février,mars,,,,,,,octobre,novembre,décembre
Blette,,,,,,juin,juillet,août,septembre,octobre,novembre,
Brocoli,,,,,,,,,septembre,octobre,novembre,
Carotte,janvier,février,mars,,,,,,septembre,octobre,novembre,décembre
Céleri,janvier,février,mars,,,,,,,octobre,novembre,décembre
ChampignondeParis,janvier,février,mars,avril,mai,juin,juillet,août,septembre,octobre,novembre,décembre
Chou,janvier,février,mars,,,,,,,octobre,novembre,décembre
ChoudeBruxelles,janvier,février,mars,,,,,,,octobre,novembre,décembre
Chou-fleur,janvier,février,mars,,,,,,septembre,octobre,novembre,décembre
Concombre,,,,,mai,juin,juillet,août,septembre,octobre,,
Courge,janvier,,,,,,,,septembre,octobre,novembre,décembre
Courgette,,,,,mai,juin,juillet,août,septembre,octobre,,
Cresson,janvier,février,mars,avril,mai,,,,septembre,octobre,novembre,décembre
Échalote,,,,,,,,,,octobre,novembre,décembre
Endive,janvier,février,mars,avril,,,,,,octobre,,
Épinard,janvier,février,mars,avril,mai,,,,septembre,octobre,novembre,décembre
Fenouil,,,,avril,,juin,juillet,août,septembre,octobre,novembre,
Haricotvert,,,,,,juin,juillet,août,septembre,octobre,,
Laitue,,,,,mai,juin,juillet,août,septembre,,,
Mâche,janvier,février,,,,,,,,octobre,novembre,décembre
Navet,janvier,février,mars,avril,mai,,,,,octobre,novembre,décembre
Maïs,,,,,,,juillet,août,septembre,,,
Oignon,janvier,février,mars,avril,,,,,septembre,octobre,novembre,décembre
Panais,janvier,février,mars,,,,,,,octobre,novembre,décembre
Petitpois,,,,,mai,juin,juillet,,,,,
Poireau,janvier,février,mars,avril,,,,,septembre,octobre,novembre,décembre
Poivron,,,,,,juin,juillet,août,septembre,,,
Potiron,janvier,,,,,,,,septembre,octobre,novembre,décembre
Radis,,,mars,avril,mai,juin,,,,,,
Salsifis,janvier,février,,,,,,,,,novembre,décembre
Tomate,,,,,,juin,juillet,août,septembre,,,
Topinambour,janvier,février,,,,,,,,,novembre,décembre
Abricot,,,,,,juin,juillet,août,,,,
Cassis,,,,,,juin,juillet,août,,,,
Cerise,,,,,,juin,juillet,,,,,
Citron,janvier,février,,,,,,,,,novembre,décembre
Châtaigne,,,,,,,,,,octobre,novembre,
Clémentine,janvier,février,,,,,,,,,novembre,décembre
Coing,,,,,,,,,,octobre,,
Figue,,,,,,,juillet,août,septembre,octobre,,
Fraise,,,,,mai,juin,juillet,,,,,
Framboise,,,,,,juin,juillet,août,,,,
Groseille,,,,,,juin,juillet,août,,,,
Kiwi,janvier,février,mars,,,,,,,,novembre,décembre
Mandarine,janvier,février,,,,,,,,,novembre,décembre
Melon,,,,,,juin,juillet,août,septembre,,,
Mirabelle,,,,,,,,août,septembre,,,
Mûre,,,,,,,,août,septembre,,,
Myrtille,,,,,,,juillet,août,septembre,,,
Nectarine,,,,,,,juillet,août,,,,
Noisette,,,,,,,,,septembre,octobre,novembre,
Noix,,,,,,,,,septembre,octobre,,
Orange,janvier,février,mars,,,,,,,,,décembre
Pamplemousse,,février,mars,avril,mai,juin,,,,,,
Pêche,,,,,,juin,juillet,août,septembre,,,
Poire,janvier,février,mars,,,,,août,septembre,octobre,novembre,décembre
Pomme,janvier,février,mars,avril,,,,août,septembre,octobre,novembre,décembre
Prune,,,,,,,juillet,août,septembre,,,
Quetsche,,,,,,,,août,septembre,octobre,,
Raisin,,,,,,,,,septembre,octobre,,
ReineClaude,,,,,,,,,septembre,,,
Rhubarbe,,,,avril,mai,juin,,,,,,
